h	w	p
138	247	1
138	248	1
136	250	1
134	252	1
132	256	1
130	256	1
128	258	1
128	260	1
126	261	1
126	261	1
126	260	1
124	259	1
122	256	1
122	255	1
122	256	1
124	256	1
122	255	1
124	255	1
124	253	2
174	474	3
170	474	2
166	475	1
162	474	1
158	473	1
154	464	1
148	455	1
144	451	1
142	451	1
138	447	1
138	447	1
136	448	1
134	451	1
134	451	1
136	451	1
136	451	1
138	451	1
136	451	1
136	451	1
138	451	1
138	451	1
138	451	1
138	451	1
138	451	1
138	448	1
140	448	1
140	447	1
140	446	1
140	446	1
140	446	1
142	446	1
142	446	1
142	443	1
142	443	1
142	442	1
144	442	1
144	442	1
144	442	1
146	442	1
146	442	1
148	442	1
150	442	1
150	442	1
150	438	1
152	438	1
154	437	1
158	437	1
154	433	1
154	433	1
154	433	1
154	429	1
152	428	1
150	425	1
150	424	1
148	419	1
148	419	1
144	415	1
142	411	1
140	406	1
136	397	1
118	346	1
120	332	1
122	328	1
122	324	1
122	322	1
124	319	1
124	315	1
124	310	1
124	308	1
126	305	1
126	301	1
126	300	1
124	297	1
124	295	1
124	292	1
126	292	1
124	288	1
122	286	1
122	283	1
122	283	1
124	283	1
122	281	1
120	279	1
122	279	1
124	282	1
124	282	1
124	281	1
124	282	1
124	283	1
124	283	1
124	283	1
124	283	1
124	285	1
124	288	1
122	292	1
122	297	1
122	306	1
108	341	1
106	346	1
106	350	1
106	353	1
106	352	1
108	353	1
110	357	1
112	361	1
112	365	1
114	365	1
116	365	1
120	367	1
124	370	1
130	375	1
134	380	1
134	383	1
138	384	1
140	388	1
144	392	1
144	392	1
144	392	1
144	393	1
146	394	1
148	397	1
148	398	1
148	399	1
150	401	1
150	401	1
152	403	1
152	407	1
152	410	1
154	412	1
154	413	1
156	415	1
158	419	1
158	419	1
158	420	1
160	421	1
160	422	1
160	425	1
158	428	1
158	429	1
159	429	1
160	429	1
160	430	1
160	433	1
160	433	1
160	433	1
161	433	1
160	434	1
160	434	1
160	433	1
160	428	1
160	424	1
158	419	1
156	412	1
152	406	1
150	403	1
148	401	1
144	398	2
142	397	2
140	395	2
