h	w	p
176	389	1
176	385	1
178	380	1
182	376	1
186	374	1
188	371	1
192	369	1
198	367	1
200	367	1
200	367	1
200	368	1
200	369	1
200	368	1
198	368	1
196	370	1
196	371	1
194	373	1
196	374	1
196	377	1
194	379	1
192	380	1
194	383	1
191	383	1
190	384	1
188	384	1
188	384	1
188	385	1
186	385	1
184	386	2
186	388	2
184	388	2
184	388	2
182	388	2
182	386	2
182	386	2
182	385	2
182	385	2
182	386	2
182	386	2
180	387	2
180	388	2
180	388	2
178	388	2
178	387	2
182	386	2
182	385	2
184	385	2
182	383	2
182	383	2
182	383	2
182	383	2
182	381	2
176	381	2
176	381	2
176	380	2
178	379	2
178	379	2
176	379	2
176	379	2
176	379	2
176	380	2
176	381	2
174	381	2
174	383	2
174	383	2
176	381	2
178	379	2
178	379	2
182	379	2
184	374	2
184	370	1
184	368	1
184	366	2
184	366	1
184	365	1
182	364	1
182	363	1
184	362	1
184	362	1
186	364	1
184	363	1
182	364	1
180	365	1
180	367	1
180	367	1
180	369	1
180	371	1
186	372	1
184	374	1
184	374	1
186	374	1
186	374	1
188	374	1
190	374	1
192	374	1
192	372	1
192	371	1
192	370	1
194	370	1
194	369	1
194	368	1
194	368	1
194	368	1
194	368	1
196	370	1
194	370	1
194	371	1
194	371	1
192	372	1
188	374	2
188	374	2
188	375	2
190	375	2
192	375	1
192	376	2
192	377	2
192	377	2
192	377	3
192	376	1
192	375	1
192	374	1
192	374	1
194	372	1
194	371	1
194	370	1
194	370	1
194	368	1
192	367	1
192	366	1
190	366	2
190	365	2
190	363	1
190	362	2
190	362	2
188	362	2
186	362	2
186	363	2
188	365	2
184	365	2
186	365	1
184	365	2
188	366	1
188	366	1
190	365	1
190	367	1
188	368	1
188	370	1
188	370	1
190	371	1
190	371	1
188	372	1
188	372	1
188	373	1
188	372	1
188	373	1
188	374	1
186	374	1
186	374	1
190	375	1
188	376	1
186	377	1
186	379	1
188	379	1
188	379	1
188	380	1
188	380	1
186	379	1
190	379	1
188	379	1
186	379	1
186	379	1
186	377	1
186	377	1
184	377	1
180	376	1
180	379	1
178	380	1
178	381	1
174	384	1
170	388	1
170	392	1
170	397	1
168	401	1
168	410	1
162	415	1
158	419	1
154	420	1
152	424	1
156	424	1
154	425	1
152	426	1
154	425	1
160	424	1
166	424	1
170	422	1
170	421	1
170	420	1
172	420	1
174	420	1
172	419	1
170	419	1
168	419	1
168	420	1
166	421	1
164	421	1
162	421	1
164	421	1
162	424	1
162	424	1
164	424	1
166	424	1
166	424	1
168	424	1
168	424	1
170	422	1
172	421	1
173	421	1
174	420	1
175	419	1
176	419	1
176	417	1
178	417	1
178	416	1
180	415	1
180	415	1
180	413	1
180	412	1
180	412	1
180	412	1
180	411	1
180	411	1
180	411	1
180	411	1
179	410	1
179	410	1
178	410	1
178	410	1
178	410	1
178	410	1
177	410	1
177	410	1
177	410	1
178	408	1
178	407	1
180	407	1
180	406	1
180	406	1
180	404	1
180	404	1
182	403	1
182	402	1
184	401	1
186	401	1
188	399	1
189	398	1
191	397	1
193	397	1
194	395	2
193	395	2
