h	w	p
152	261	1
152	261	1
152	263	1
152	263	1
152	263	1
152	264	1
152	264	1
152	264	1
152	265	1
152	265	1
152	265	1
152	265	1
152	265	1
152	265	1
152	265	1
150	265	1
148	265	1
147	265	1
146	265	1
146	267	1
146	268	1
147	270	1
148	270	1
149	273	1
150	274	4
172	362	6
172	363	6
172	363	5
172	363	4
172	365	4
60	478	4
60	478	4
60	477	4
60	476	4
60	476	4
60	475	4
60	475	4
60	474	4
60	474	4
60	474	4
60	473	4
60	474	4
60	473	4
60	474	4
60	474	4
60	474	5
60	475	5
60	476	5
60	477	5
60	478	5
60	479	5
58	480	5
58	482	6
58	483	5
58	485	5
58	485	5
58	487	5
58	487	5
58	487	5
58	488	5
58	488	5
58	488	5
58	488	5
58	488	5
58	488	5
58	487	5
56	487	4
56	486	4
80	385	3
80	385	3
80	385	3
82	385	3
82	385	3
82	385	3
82	385	3
82	386	3
82	386	3
84	388	1
84	388	1
86	388	1
88	386	1
90	385	1
92	384	2
94	383	3
196	383	6
198	375	2
212	358	1
214	358	1
214	358	1
214	358	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	361	1
215	361	1
215	361	1
214	361	1
214	359	1
212	358	1
223	370	1
212	374	1
210	370	1
210	374	2
182	202	2
185	207	3
190	219	2
193	223	3
191	220	3
187	220	3
275	229	3
275	232	1
271	234	2
271	234	2
269	233	2
267	233	2
265	229	2
263	232	2
263	232	2
263	233	2
261	234	2
261	237	2
269	324	2
271	327	2
269	328	2
261	333	2
257	336	2
253	340	2
251	342	2
247	345	2
243	348	2
241	350	2
239	351	2
239	353	1
239	354	1
237	356	2
235	358	2
233	360	2
233	361	2
231	362	2
229	365	2
228	366	2
225	368	2
225	369	2
223	370	2
221	372	2
218	374	2
216	375	2
214	376	2
213	379	2
210	379	2
208	380	2
206	383	2
204	383	2
202	383	2
201	385	2
198	388	2
196	388	2
192	389	2
190	389	2
188	392	2
186	392	2
184	394	2
182	395	2
181	395	2
180	397	2
180	397	2
178	398	2
176	399	2
176	401	2
174	401	2
172	401	2
172	402	2
170	401	2
172	401	2
174	401	2
172	399	3
106	388	2
104	390	2
104	389	2
102	389	2
102	392	4
100	393	4
100	395	4
353	292	4
353	296	3
353	292	3
351	288	2
351	288	2
353	292	2
353	292	2
351	292	2
351	292	2
351	292	2
351	295	2
351	297	2
349	297	2
347	301	2
347	301	2
347	304	2
347	305	2
347	301	2
345	301	2
343	304	2
345	306	2
343	306	2
343	308	2
343	309	2
345	310	2
345	312	2
347	310	2
347	309	3
347	310	3
349	309	3
351	309	3
353	309	4
353	306	4
353	306	4
355	305	4
359	301	4
359	300	4
359	297	4
359	297	4
359	297	4
359	297	3
355	297	2
351	297	2
351	297	2
353	292	2
353	292	2
351	288	3
345	288	3
337	297	3
335	297	4
333	301	4
333	297	4
106	595	4
104	596	4
102	597	4
102	597	5
100	597	4
100	597	6
102	599	8
102	599	7
172	346	6
172	350	4
170	351	1
168	352	1
166	353	1
166	354	1
166	353	1
166	353	1
166	353	1
164	353	1
164	353	1
164	353	1
166	353	1
164	352	1
166	352	1
166	352	1
166	352	1
168	352	1
168	353	1
170	354	1
170	354	1
172	354	1
172	356	1
174	356	1
174	357	1
175	357	1
176	358	1
176	358	1
176	359	1
176	360	1
176	361	1
176	361	1
178	362	1
178	362	1
178	362	1
176	362	1
176	363	1
176	363	1
176	362	1
174	362	1
174	362	1
174	362	1
172	362	1
172	362	1
