episode	scene	segment	onset	offset	duration	raw_descriptor	caption_eng	caption_fr	ONbond_location	ONbond_charact_entry	ONbond_charact_leave	ONbond_time_jump	ONbond_goal_change	ONbond_music_transit	ONbond_theme_song	OFFbond_location	OFFbond_charact_entry	OFFbond_charact_leave	OFFbond_time_jump	OFFbond_goal_change	OFFbond_music_transit	OFFbond_theme_song	OFFbond_end	loc_apt1_Mon_Rach	loc_apt2_Chan_Joey	loc_apt3_Ross	loc_apt4_Phoeb_Rach	loc_coffeeshop	loc_outside	loc_other
s4e23c	8	11	411.0	457.0	46.0		Phoebe reaches Emily's mother on the phone, but she refuses to let her talk to any of them.	Phoebe rejoint la mère d'Emily au téléphone, mais elle refuse de la laisser parler à l'un d'eux.	True	True	False	False	True	False	False	True	False	True	False	True	False	False	False	True	False	False	False	False	False	True
s4e23c	8	12	457.0	478.0	21.0		Chandler is discouraged that his jokes do not make react and finishes his speech quickly.	Chandler est découragé que ses blagues ne font pas réagir et termine son discours rapidement. 	True	False	True	False	True	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	True
s4e23c	8	13	478.0	525.0	47.0		Joey's turn to make a speech and shares his desire to return home to the States.	Au tour de Joey à faire un discours et partage son désir de rentrer chez lui aux États-Unis.	False	False	False	False	True	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	True
s4e23c	8	14	525.0	534.0	9.0		Felicity offers Joey to spend the night with her and makes him forget about the blues at home.	Felicity propose à Joey de passer la nuit avec elle et lui fait oublier le blues de chez lui.	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	True
s4e23c	9	15	534.0	538.0	4.0	transition	transition	transition	False	False	False	False	False	True	False	False	False	False	True	False	False	False	False	False	False	False	False	False	True	False
s4e23c	10	16	538.0	554.0	16.0		Monica reassures Chandler that she laughed at his jokes during his speech.	Monica rassure Chandler qu'elle a rit de ses blagues lors de son discours.	False	False	False	True	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	True
s4e23c	10	17	554.0	575.0	21.0		A man approaches Monica and Chandler to tell them that he likes Ross and insults Monica in the process.	Un homme approche Monica et Chandler pour leur dire qu'il apprécie Ross et insulte Monica au passage.	False	True	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	True
s4e23c	10	18	575.0	597.0	22.0		Jack Geller tells Emily's parents that he will not pay for some of the wedding expenses that have been imposed.	Jack Geller dit aux parents d'Emily qu'il ne paiera pas pour certaines dépenses du mariage imposées.	False	False	False	False	True	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	True
s4e23c	10	19	597.0	627.0	30.0		Chandler's turn to reassure Monica about the insult she received from the man.	Au tour de Chandler de rassurer Monica sur l'insulte qu'elle a reçu de l'homme.	False	False	False	False	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True
s4e23c	11	20	627.0	670.0	43.0		Rachel asks to divert the plane so she can board the flight to London.	Rachel demande de détourner l'avion pour qu'elle puisse embarquer sur le vol vers Londres.	True	False	False	True	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	True
s4e23c	12	21	670.0	673.0	3.0	transition	transition	transition	False	False	False	False	False	True	False	True	False	False	True	False	False	False	False	False	False	False	False	False	True	False
s4e23c	13	22	673.0	684.0	11.0		Ross enters Chandler's room to shout his joy at getting married today.	Ross entre dans la chambre de Chandler pour crier sa joie de se marier aujourd'hui.	True	False	False	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True
s4e23c	13	23	684.0	693.0	9.0		Monica asks Chandler if Ross has seen her in his bed.	Monica demande à Chandler si Ross l'a vue dans son lit.	False	False	True	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	True
s4e23c	14	24	693.0	699.0	6.0	transition	transition	transition	False	False	False	False	False	True	False	True	False	False	True	False	False	False	False	False	False	False	False	False	True	False
s4e23c	15	25	699.0	744.0	45.0		The passenger next to Rachel lets her know that he does not want any interaction with her during the flight.	Le passager à côté de Rachel lui fait savoir qu'il ne veut pas d'interaction avec elle durant le vol.	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	True
