start_time	word
332.3	all
334.3	day
336.3	taking
338.3	care
340.3	of
342.3	my
344.3	monkey.
333.9	I
334.3	can't
334.6	remember
334.7	the
334.8	last
335.0	time
335.2	I
335.4	got
335.5	a
335.6	girl
335.8	to
335.9	take
336.0	care
336.3	of
336.3	my
336.5	monkey.
338.6	[JOEY
338.8	LAUGHING]
341.7	Anyway,
342.2	you
342.7	know,
343.2	I
343.3	figured
343.4	after
343.8	work,
344.3	I'd
344.6	go
344.8	pick
345.0	up
345.2	a
345.3	bottle
345.5	of
345.7	wine...
346.2	...go
348.2	over
350.2	there
352.2	and,
354.2	uh,
356.2	try
358.2	to
360.2	woo
362.2	her.
351.6	Hey,
351.9	you
352.2	know
352.3	what
352.4	you
352.5	should
352.6	do?
352.8	You
353.3	should
353.5	take
353.7	her
353.8	back
353.9	to
354.0	the
354.1	1890s
354.9	when
355.2	that
355.3	phrase
355.6	was
355.8	last
356.0	used.
361.2	If
361.4	you
361.6	keep
361.8	this
362.0	up...
362.9	...you'll
363.1	be
363.3	finished
363.5	with
363.7	this
363.9	sucker
364.1	by
364.3	the
364.5	end
364.7	of
364.9	the
365.1	week.
365.9	Now,
366.1	the
366.4	one
366.5	in
366.7	the
366.8	feathered
367.0	boa,
367.5	that's
368.0	Dr.
368.3	Francis.
369.0	Now,
369.1	she
369.2	used
370.2	to
370.3	be
370.4	a
370.5	man.
371.6	Oh,
371.7	look.
371.8	See,
371.8	now,
371.9	there's
372.0	Raven.
372.2	We
372.4	hate
372.6	her.
375.4	We're
377.4	glad
379.4	she's
381.4	dying.
377.4	And
377.6	then...
377.8	What?
378.0	Marcel.
380.1	Are
380.3	you
380.5	playing
380.7	with
380.9	Monica's
381.1	shoes?
381.3	You
381.5	know
381.7	you're
381.9	not
382.1	supposed
382.3	to...
383.7	Whoa,
383.9	whoa.
386.7	Marcel,
386.9	did
387.1	you
387.3	poo
387.5	in
387.7	the
387.9	shoe?
389.9	Oh,
390.1	Marcel.
390.3	Bad
390.5	monkey.
393.2	Oh,
393.4	God.
396.6	Oh.
400.5	Sorry,
400.7	Barry.
402.7	A
402.9	little
403.1	engagement
404.0	gift.
404.9	I'm
405.1	sure
405.3	you
405.5	didn't
405.7	register
405.9	for
406.1	that.
414.1	[GUNSHOT
414.3	ON
414.5	TV]
415.4	Who
415.6	died?
415.8	Who
416.0	died?
418.0	Roll
418.2	him
418.4	over.
418.6	Oh,
418.8	come
419.0	on,
419.2	roll
419.4	him
419.6	over.
419.8	Oh!
421.9	Well,
422.6	we
423.0	know
423.3	it
423.7	wasn't
424.1	Dexter,
424.5	right,
424.8	Marcel?
425.2	Because...
426.3	Marcel?
426.5	Marcel?
426.7	Marc...?
431.2	How
431.5	could
431.7	you
431.8	lose
432.0	him?
432.2	I
432.4	don't
432.6	know,
432.8	I
433.0	don't
433.2	know.
433.7	We
433.8	were
433.9	watching
434.0	TV,
434.0	and
434.1	then
434.2	he
434.3	pooped
435.6	in
435.8	Monica's
436.0	shoe...
436.5	Wait.
436.7	He
437.9	pooped
438.2	in
438.3	my
438.4	shoe?
438.6	Which
440.1	one?
440.7	I
441.0	don't
441.2	know.
441.3	The
441.9	left
442.4	one.
443.5	Which
443.7	ones?
444.8	Oh,
445.2	those
445.5	little
445.9	clunky
446.3	Amish
446.6	things
447.0	you
447.2	think
447.4	go
447.5	with
447.6	everything.
450.2	Hey.
451.9	Whoa,
452.3	oh.
452.6	Why
453.0	is
453.4	the
453.6	air
453.8	in
454.0	here
454.2	so
454.4	negative?
457.0	Rachel
457.7	lost
458.0	Marcel.
458.2	Oh,
458.4	no.
458.6	How?
460.1	He
462.1	pooped
464.1	in
466.1	my
468.1	shoe.
470.1	Which
472.1	one?
462.4	Those
462.6	cute
462.8	little
463.0	black
463.2	ones
463.4	I
463.6	wear
463.8	all
464.1	the
464.2	time.
464.9	No,
465.1	which
465.3	one?
465.5	Ha,
465.7	ha.
467.2	The
467.4	right
467.6	or
467.8	left?
470.1	Because
470.1	the
470.2	left
471.0	one
471.2	is
471.3	lucky.
472.5	Come
472.7	on,
472.9	you
473.1	guys.
473.3	What
473.5	am
473.7	I
473.9	gonna
474.1	do?
474.2	All
474.3	right,
474.5	all
474.6	right,
474.7	all
474.9	right.
475.0	You're
475.7	a
475.7	monkey...
476.4	...you're
476.8	loose
477.1	in
477.2	the
477.3	city.
478.2	Where
478.7	do
478.8	you
478.9	go?
480.7	Okay,
481.2	it's
481.4	his
481.5	first
481.6	time
481.8	out...
482.2	...so
482.4	he's
482.6	probably
482.8	gonna
483.0	want
483.2	to
483.4	do
483.6	some
483.8	of
484.0	the
484.2	touristy
484.4	things.
487.6	I'll
487.8	go
488.1	to
488.3	Cats.
488.8	You
489.1	go
489.4	to
489.7	the
489.7	Russian
490.0	Tea
490.2	Room.
491.9	Oh,
492.1	my
492.3	God!
492.5	Come
492.7	on,
492.9	you
493.1	guys.
495.0	He's
495.2	gonna
495.4	be
495.6	home
495.8	any
496.0	minute.
496.2	He's
496.4	gonna
496.6	kill
496.8	me.
498.2	Start
498.4	with
498.5	the
498.6	building.
498.8	You
499.0	take
499.2	the
499.4	first
499.6	and
499.8	second
500.0	floor.
500.0	Phoebe
502.0	and
504.0	I
506.0	will
508.0	take
510.0	third
512.0	and
514.0	fourth.
501.9	Whoa,
502.1	whoa.
502.3	What
502.5	am
502.7	I
502.9	gonna
503.1	do?
503.4	Okay,
503.6	you
503.8	stay
504.0	here
504.2	and
504.4	just
504.6	wait
504.8	by
505.0	the
505.2	phone.
506.2	Spray
506.4	Lysol
506.5	in
507.5	my
507.5	shoe
507.8	and
507.9	wait
508.1	for
508.1	Ross
508.1	to
508.2	kill
508.2	you.
510.1	Does
510.3	anybody
510.5	want
510.7	to
510.9	trade?
512.7	[SIGHS]
520.1	What
520.4	do
520.5	you
520.6	want?
521.4	Mr.
521.4	Heckles,
521.4	our
521.4	friend
521.5	lost
521.5	a
521.5	monkey.
521.5	Have
523.6	you
523.7	seen
523.9	it?
525.0	I
525.4	left
525.6	a
525.7	Belgian
526.2	waffle
526.3	out
526.8	here.
526.9	Did
527.0	you
527.2	take
527.4	it?
527.8	No.
529.0	Why
529.4	would
529.5	you
529.6	leave
529.7	your
529.9	Belgian
530.1	waffle
530.6	in
530.6	the
530.8	hall?
531.8	I
532.2	wasn't
532.5	ready
532.8	for
533.0	it.
533.5	The
533.8	monkey,
534.1	have
534.3	you
534.6	seen
534.9	a
535.1	monkey?
536.6	I
536.6	saw
537.2	Regis
537.8	Philbin
538.0	once.
539.4	Thank
539.6	you,
539.8	Mr.
540.0	Heckles.
542.4	You
542.8	owe
542.9	me
543.0	a
543.1	waffle.
545.3	Okay,
546.5	he's
546.6	a
546.7	black
547.1	capuchin
547.7	monkey
548.0	with
548.1	a
548.3	white
548.6	face...
549.6	...with
549.7	Russian
551.0	dressing
551.2	and
551.8	pickles
552.7	on
552.7	the
552.8	side.
554.0	Okay,
554.2	thanks.
557.1	Hi.
557.3	Hey.
557.5	How
557.9	did
558.4	it
558.6	go
558.8	today?
559.3	Oh,
559.5	great.
559.7	It
559.9	went
560.1	great.
560.3	Really
560.5	great.
560.7	Yeah.
562.3	Hey,
562.5	is
562.7	that
562.9	wine?
563.1	Yeah.
563.3	Yeah.
564.5	You,
564.7	uh,
564.9	want
565.1	some?
566.0	Oh,
566.7	I
566.8	would
566.9	love
567.0	some.
567.2	Yeah.
568.2	But
568.4	you
568.6	know
568.8	what?
569.0	You
569.2	know
569.4	what?
569.6	Let's
569.8	not
570.0	drink
570.2	it
570.4	here.
570.8	I'm
570.9	feeling
571.6	kind
571.8	of
571.9	crazy.
572.1	Do
572.4	you
572.7	want
572.8	to
572.9	go
573.0	to
573.1	Newark?
577.0	Uh,
577.1	okay.
577.3	Yeah.
579.3	We
579.5	could
579.8	do
579.9	that.
580.1	But
580.3	before
580.5	we
580.8	head
580.9	off
581.0	to
581.1	the
581.3	murder
581.6	capital
582.0	of
582.0	the
582.1	Northeast...
584.4	...I
584.7	was,
585.0	uh,
585.2	kind
585.5	of
585.8	wanted
586.1	to
586.2	run
586.4	something
586.7	by
586.7	you.
587.6	You
587.9	know
588.1	how
588.2	we
588.4	were,
588.4	you
588.5	know,
588.5	talking
589.7	before...
591.1	...about
591.3	relationships
592.4	and
592.6	stuff,
592.8	well...
593.5	Oh,
593.9	God,
594.3	Ross,
594.6	I
594.7	cannot
595.0	do
595.2	this.
595.4	Okay,
596.0	quick
596.2	and
596.3	painful.
606.4	Oh,
606.6	God.
608.0	Okay,
608.2	all
608.4	right.
608.6	All
608.8	right,
609.0	okay.
611.2	Ross,
611.2	please
612.0	don't
612.3	hate
612.5	me.
613.4	Oh,
613.6	what?
613.8	What?
614.0	What?
614.7	[CHUCKLES]
617.3	You
617.3	know
617.3	Marcel?
620.0	Yeah?
620.2	Well,
620.4	ahem.
622.6	I
623.0	kind
623.3	of,
623.7	uh...
624.1	I
624.5	kind
624.8	of
