h	w	p
174	425	1
174	425	1
174	428	1
172	428	1
172	428	1
172	428	1
172	428	1
172	428	1
172	428	1
172	428	1
173	428	1
174	428	1
174	428	1
174	425	1
174	425	1
175	425	1
176	425	1
176	425	1
176	424	1
176	424	1
176	425	1
176	425	1
176	428	1
176	428	1
176	429	1
175	433	1
175	433	1
175	434	1
176	434	1
176	435	1
176	437	1
176	435	1
176	435	1
176	434	1
176	434	1
176	433	1
176	433	1
176	433	1
178	430	1
178	429	1
178	428	1
178	425	1
178	424	1
176	421	1
176	419	1
176	417	1
176	416	1
174	415	1
174	412	1
174	411	1
174	410	1
174	410	1
175	407	1
176	406	1
176	404	1
176	403	1
178	401	1
178	401	1
180	398	1
180	397	1
180	395	1
182	393	1
182	392	1
183	392	1
184	392	1
183	390	1
184	389	1
184	389	1
184	388	1
184	388	1
184	386	1
182	385	1
182	383	1
182	383	1
182	383	1
180	380	1
180	379	1
180	379	1
180	377	1
178	376	1
178	375	1
178	374	1
178	374	1
178	372	1
178	371	1
178	370	1
178	370	1
178	368	1
180	367	1
180	366	1
180	364	1
180	362	1
180	360	1
180	359	1
180	357	1
178	356	1
178	355	1
178	354	1
176	352	1
176	351	1
176	350	1
174	349	1
174	348	1
172	347	1
172	346	1
170	346	1
170	345	1
168	345	1
168	345	1
166	344	1
166	344	1
164	344	1
164	343	1
164	342	1
162	342	1
162	342	1
162	341	1
162	341	2
162	340	2
162	340	2
162	339	2
164	337	2
166	337	2
166	337	1
168	337	1
170	337	1
173	336	1
176	335	1
176	335	1
178	333	1
180	333	1
181	333	1
182	333	2
183	333	2
183	333	2
184	333	2
207	416	2
205	415	2
205	415	2
205	415	2
205	416	2
205	419	2
205	419	2
205	420	2
204	424	2
204	424	2
203	425	2
203	428	2
202	428	2
201	428	2
200	428	2
199	428	2
198	429	2
198	430	2
197	430	2
196	430	2
195	430	2
194	433	2
193	433	2
192	433	2
192	433	2
191	433	2
188	428	2
188	428	2
187	428	2
187	428	2
186	428	1
186	428	1
186	428	1
185	428	1
184	428	1
184	428	2
184	428	2
184	428	2
184	428	2
183	424	2
184	424	2
182	419	2
182	419	2
182	419	2
182	415	2
182	415	2
179	358	2
179	359	2
179	359	2
179	359	2
179	359	2
179	359	2
182	401	2
182	401	2
184	401	2
184	401	1
185	401	2
186	401	2
187	401	2
181	353	2
191	401	2
193	402	2
196	406	2
199	407	2
202	410	2
204	410	2
205	410	2
207	410	2
208	410	2
211	410	3
215	410	3
190	333	3
190	333	3
227	407	3
227	406	3
229	406	3
192	328	3
192	327	3
192	324	3
192	324	3
192	322	3
235	402	3
237	401	3
237	401	3
